% Device,CC1747002
% File name,CC1747002_20180606_165416
% Cast time (UTC),2018-06-06 16:54:16
% Cast time (local),2018-06-06 18:54:16
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,60.0512764
% Start longitude,2.6163585
% Start altitude,55.590000152587891
% Start GPS horizontal error(Meter),1.2999999523162842
% Start GPS vertical error(Meter),1.7200000286102295
% Start GPS number of satellites,10
% End latitude,60.0540693
% End longitude,2.6216973
% End altitude,66.889999389648438
% End GPS horizontal error(Meter),14.510000228881836
% End GPS vertical error(Meter),9.2899999618530273
% End GPS number of satellites,5
% Cast duration (Seconds),309.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1493793940117279,12.42994704393714,35222.097891544472,47050.691589543283,30.033241079681723,1492.3787955863672,1022.6571721475516
0.44999999999999996,0.44795621842648259,12.498871940899985,36848.637829452222,49132.995103862639,31.519739560362392,1494.3845879783,1023.7968923394075
0.74999999999999989,0.74636690300190112,12.526890481908508,36926.484430354067,49200.032238423948,31.570139301493082,1494.5447245275532,1023.8319784187705
1.05,1.0447739511748846,12.53038587518231,36915.526953425593,49180.8518518813,31.556670556367038,1494.5455612898061,1023.8222328916069
1.35,1.3431831854388423,12.530791274819361,36907.670908610547,49169.854478092384,31.548743999345557,1494.5424722449616,1023.8173663639427
1.65,1.6415907830041274,12.528716239114937,36925.986533611911,49196.9753219605,31.567775947637216,1494.562964796125,1023.8338525012294
1.9500000000000002,1.9399957230944342,12.529519266747307,36928.097318549306,49198.734809359943,31.568989325921905,1494.5720827698885,1023.8359904261642
2.25,2.2384004929306376,12.53075193844383,36927.005702272356,49195.664615031281,31.566797927356163,1494.5786180549435,1023.8354094674359
2.55,2.5368046467242249,12.528752182034907,36930.074507054269,49202.374659199,31.571274329362669,1494.582080240941,1023.8406064373486
2.85,2.8352079026421197,12.528456942152518,36929.866896608008,49202.485134857539,31.571205586520655,1494.5859407141006,1023.8419594415857
3.15,3.133610179584331,12.527830359156859,36935.257261147948,49210.488466375835,31.576736717266208,1494.5953252340551,1023.8477129996799
3.4499999999999997,3.4320121190949644,12.528187241775301,36929.81506032429,49202.769670706446,31.571144300018105,1494.5948430328026,1023.8446636228296
3.75,3.730414327110398,12.528701079629096,36930.859580583667,49203.487621677981,31.571586763501017,1494.6020620960524,1023.8462591481296
4.05,4.0288159956849,12.52744976258702,36931.1122723808,49205.464941024671,31.572758131506877,1494.6041440765275,1023.8487540457625
4.35,4.3272170425773622,12.527469642897607,36932.359854578783,49207.101099565538,31.573808266874146,1494.6104050877534,1023.8509139400893
4.6499999999999995,4.6256176755760476,12.527729830672424,36932.400132623639,49206.81360058955,31.573508956425304,1494.6158806126814,1023.851982960316
4.9499999999999993,4.9240181035606065,12.52658303316713,36930.370553252069,49205.613152431026,31.572422980827252,1494.6156369239661,1023.8527094772597
5.2499999999999991,5.2224182053676573,12.526751630509835,36931.435487371738,49206.810985134543,31.573174661790649,1494.622049261279,1023.8546099576171
5.55,5.5208178632124074,12.526852586246477,36931.926691701447,49207.333078123542,31.573437698918394,1494.6276512018249,1023.8561447519558
5.85,5.8192172117349363,12.52702060690406,36931.736294068316,49206.859080192706,31.572996476833961,1494.632644774224,1023.8571212990623
